age,income,capital,expenses,emi,liquidity_need,dependents,goal,confidence,knowledge,comfort_with_negatives,market_awareness,experience,portfolio_risk,profile_score,utility_A,weight_equity,weight_debt,weight_gold,weight_real_estate,weight_crypto,weight_cash
53,110681,2386535,42476,23058,65893,1,growth,9.06496742090012,0.19588096514231546,0.2963559340006916,1.882068383954394,3.6737135806151078,0.6057031866471918,0.725,6.136,0.18874124812846324,0.148790164217114,0.16106645109040232,0.16757935822641493,0.1963732175018112,0.13744956083579435
56,65295,609027,30738,15986,67460,1,income,5.195759708406783,8.96222627639415,4.2089574442963995,2.0242166634242222,2.5523486959349597,0.5988883021468762,0.42500000000000004,6.832,0.18487075183564047,0.15195386304774214,0.16221732396764477,0.16760616010745558,0.1910121315866996,0.14233976945481736
25,51516,1759306,27442,6805,97055,0,retirement,6.87243813454041,5.594868242001607,8.287008968501018,7.9518553208959695,1.7343673699984763,0.6095302724661805,0.6,5.744,0.19091693068862753,0.1470067369884287,0.16038840673095237,0.1675293258399291,0.1994170610058302,0.13474153874623207
28,55598,342480,37186,12694,124564,2,retirement,2.3598331912846238,8.451192059499752,6.2027756570654,4.618837854803899,7.873555384009679,0.6033168092888687,0.45,6.38,0.18738532715203618,0.14989979983609908,0.16147770277064694,0.167597801394625,0.1944873397716096,0.13915202907498325
44,112981,1881040,51319,13298,108254,3,income,1.122438606504823,6.149134045235271,9.013295642211732,6.771162983254109,8.386134367452467,0.6135040188847583,0.675,5.336,0.19317731188458553,0.1451501148285514,0.15966030772184936,0.16745061660775837,0.20260301668751168,0.1319586322697438
53,113697,1683167,70854,15499,72726,1,retirement,8.146333390284482,4.66199548372471,7.624197126010569,1.4642800028289282,6.068586356112981,0.606318829451642,0.55,6.073,0.1890911454854101,0.14850359252823228,0.16095891563996492,0.16757301220620827,0.19686124688730808,0.1370120872528764
49,81476,1485972,49634,22017,86724,1,growth,7.800614519893689,6.370292305590173,8.012688856922907,5.1472189660345125,1.6968220063814876,0.6105538901734209,0.65,5.639,0.1914990740111548,0.1465289431573859,0.16020319418336626,0.16751166207304058,0.20023525958128122,0.13402186699377133
34,78585,434645,36719,10091,109902,1,growth,0.877746242071078,7.806532428905307,5.52673029544747,4.809056959832305,0.5996284906109361,0.6050384442967547,0.6,6.204,0.18836348767444833,0.14909945122905113,0.1611819000512022,0.167585478618675,0.19584696064618617,0.13792272178043719
58,98853,138479,40185,21516,64662,0,retirement,9.691970869568408,8.817367605450395,6.002041534909283,0.5168020543010243,5.225507471274319,0.6072272396441539,0.35,5.98,0.18960750274339172,0.14808051712649226,0.16079916444107337,0.16756245718329701,0.19758248850673796,0.1363678699990078
30,41111,1642077,17130,8037,103221,0,growth,0.4253361974807368,3.1293921472277955,3.6673787926233112,8.601811288128347,9.443853602778761,0.6103979524959467,0.7000000000000001,5.655,0.19141038480650915,0.1466017511741021,0.16023151443934866,0.16751446983930368,0.2001105041339197,0.13413137560681668
43,121738,226692,52617,14315,101816,2,growth,7.183642596440868,9.996915573636414,5.83364413552539,2.0019880557956213,2.6637774235972356,0.6146902360905672,0.6,5.214,0.1938522935558861,0.1445949659721585,0.15943821742988,0.16742181993497215,0.203559123457765,0.13113357964933825
32,67415,827880,39021,17230,98039,0,retirement,6.908899555437303,3.99437447884703,9.340145989056062,0.8348748859301591,4.420060078766741,0.600868621370373,0.45,6.63,0.18599492605680637,0.15103617747963405,0.1618903726425898,0.1676065710592136,0.1925622338248427,0.14090971893691345
51,83919,682693,37557,15506,70048,1,retirement,2.0756633360765884,7.894351827690407,0.6569507862078361,5.511890151809553,7.813202727417997,0.598937342600426,0.39999999999999997,6.827,0.18489858503708215,0.15193115426572668,0.16220930147934473,0.16760625121630612,0.19105044168635993,0.1423042663151803
34,75942,1102378,40729,21481,95958,0,growth,7.530214727436009,2.4724753931675094,4.939822893413346,0.42203987586387104,3.1469328604467153,0.6065239958464383,0.7,6.052,0.18920775896178196,0.14840806343739768,0.1609229477606971,0.16757075250427203,0.19702402292568708,0.13686645441016407
39,130970,1394085,57718,18249,108490,3,retirement,3.1566123399944113,0.8248748596036359,2.918894738770251,5.853660031695354,3.2706280232526463,0.601946202167939,0.6,6.52,0.1866068340885531,0.15053624895197923,0.16170988751804188,0.16760397618342807,0.1934083800086332,0.14013467324936446
