Ticker,Mean_Daily_Return,Daily_Volatility
1INCH-USD,0.000361514425535379,0.0499491118265611
AAVE-USD,0.004749281267151527,0.05652443572947561
ADA-USD,0.003516457976142586,0.06077858929064297
ANKR-USD,-0.0005905476857379909,0.04423244813007036
APT-USD,-0.002043678397577316,0.04472070453001073
AR-USD,-0.002159696339442344,0.05897122385678316
AVAX-USD,0.0007269155589025021,0.04947368015794197
AXS-USD,-0.0011589479819084747,0.048047811985027326
BAT-USD,0.00033694605110639377,0.04406873484404214
BCH-USD,0.0018099489850074179,0.04081416673534475
BGB-USD,0.004699333726808555,0.04291678067108143
BNB-USD,0.0011175712480356852,0.025269950102976987
BTC-USD,0.0019548746074136442,0.02544270846453824
BTCB-USD,0.0019519954467957094,0.025400818464833264
BTT-USD,0.00048541149548262476,0.060992925443141256
CAKE-USD,0.0023895415263481923,0.057908839633696405
CELO-USD,-0.00014066993946280904,0.04782465791014952
CFX-USD,0.002976719826914963,0.08046292302027705
CHZ-USD,-0.00029979366059563643,0.04644538340814963
CKB-USD,-0.0005694967848576771,0.06258956913043297
CRO-USD,0.002268236741956656,0.05628891008130552
CRV-USD,0.005712322976458664,0.06428661534651822
DAI-USD,7.921991997372149e-07,0.00015446189526406465
DOGE-USD,0.0030358908576560623,0.052587810821393174
DOT-USD,1.689331659611768e-05,0.04496669932974402
DYDX-USD,-0.00045803810085323296,0.056646893465964646
EGLD-USD,-0.0008672601597830989,0.046980768174367346
ENS-USD,0.00169189303658088,0.057912841110838845
ETC-USD,0.0007534216151696836,0.04005351520084382
ETH-USD,0.0009993245761818835,0.03916697540580856
FDUSD-USD,-5.519523041575296e-07,0.0010657962326594982
FIL-USD,-0.000267293380580037,0.04635614985313733
FLOW-USD,-0.00042392544390250066,0.04347976973377781
GALA-USD,0.0008547025583822555,0.05772057679181523
GLMR-USD,-0.00137259620446388,0.04965997653481386
HBAR-USD,0.005666022697411409,0.0691861103111565
ICP-USD,-0.0004026409546590537,0.04640980547195499
ICX-USD,0.0009495374069058737,0.047736542166469074
INJ-USD,6.856839059199761e-05,0.056930905533807266
IOTA-USD,0.0021006702930969,0.05660127695288054
KAS-USD,-0.00031623191268170147,0.051372215874163595
KAVA-USD,0.0009779783838154599,0.044536078082756156
KLAY-USD,0.0020144324338324015,0.06000071956877383
LDO-USD,0.0008533678139745085,0.06354799359220231
LEO-USD,0.0013902016750510886,0.022132669548638833
LINK-USD,0.0020994792463281007,0.05135170260901116
LSK-USD,-0.001210959826069658,0.04060785172080204
LTC-USD,0.002151322883119641,0.04209544073833913
LUNC-USD,0.00010287463686400322,0.04320215044648839
MINA-USD,-0.0013138026269887894,0.04708051362208831
MKR-USD,0.0003652780269686388,0.04882270909364739
NEAR-USD,-0.0006646790155059093,0.05148267774739569
NEO-USD,-0.00027307664570800434,0.05067850690075556
OCEAN-USD,0.00025505787319177225,0.056776916305477404
OKB-USD,0.0009738559365129515,0.030496612245052825
OMG-USD,0.0006398608863018509,0.0555530453276522
ONT-USD,0.00022018396236514554,0.04598008279395835
ORDI-USD,-0.0015523577599411097,0.06482531490608535
PAXG-USD,0.0009831286894576947,0.009171852158554063
QNT-USD,0.002596241129123215,0.04881752585436849
RUNE-USD,-0.0007435550845055698,0.06667982022724483
RVN-USD,0.0008633663304939039,0.05506882185390688
SAND-USD,0.001787161163833285,0.06671978754579028
SC-USD,-0.0005639067211788085,0.03828335083469873
SEI-USD,0.0014379910901522219,0.060232226919117816
SHIB-USD,0.0007633581345309068,0.05288333640568728
SKL-USD,-0.0002908811156872772,0.05877494881875777
SNX-USD,-0.0012433996085278235,0.05230198096819167
SOL-USD,0.0011148198486968092,0.04471581125413077
STETH-USD,0.0010012979832767122,0.03922360451425167
STMX-USD,0.007534106789301672,0.24993177669266897
THETA-USD,1.8536256205115314e-05,0.054043747979601195
TIA-USD,1.1839144623031714,22.586896741356558
TRX-USD,0.0034758650625061637,0.05655779523021387
TUSD-USD,-4.988746683582683e-06,0.0016221887070186325
TWT-USD,8.8802866171272e-05,0.03670821735648585
UNI7083-USD,0.002406179338670066,0.05668105163659696
USDC-USD,6.722064735509293e-07,0.00014738131605576116
WBTC-USD,0.0019398192047836661,0.025044561841037313
WOO-USD,-0.0008336446834862699,0.05653386456669631
XAUT-USD,0.0009665003536382968,0.008933120936032346
XEC-USD,-0.00019040266250899593,0.044352680110081484
XLM-USD,0.0056371156245144435,0.06210321896925778
XRP-USD,0.005753044447198378,0.051721094887323585
XTZ-USD,0.0020894664286293598,0.05692175031856006
YFI-USD,0.0008667517130436925,0.04302601572628853
ZEC-USD,0.002096747565800578,0.05038852826595462
ZEN-USD,0.0015339382060747353,0.07084682639205732
ZIL-USD,0.00011459253581674071,0.045182183180151034
